ID,Plaintext,Ciphertext,Length
322,There was nothing else save the five dried pips.,2F-8i5jEe3emOzj#13F(AeeN6PU#IkuW1P5;oUuU=M:r3::R,48
323,"They inherit Plantagenet blood by direct descent, and Tudor on the distaff side.","CIOxL=5,*gVKuNpeB^q5b,;N5Xw5C0oBn,BeUi8N6(16P;E<6FPN0kJ0=Bvd:N*61QB62r.;5:;Xx;:(",80
324,"There is a date, you see, but no superscription except Leadenhall Street, which is rather vague.","CXnV,_V=VBUeC,CemUDnMG^8UFGi2eKOF3uejOX5j_5M=eeN6PU;g:KUEy;V1DIk;TPTrdEr#*dW#*6QruvN1N:I;WK5rH;(",96
325,It came right over the forehead and settled upon the bridge of his nose.,"CYi=VYeKi5,*gKNjbzNpNne#O,*e 3#ie9*26:ZUr;IfP;5E.N#BQB5uvBT.;50rBUx;;Wy(",72
326,"Chance has put in our way a most singular and whimsical problem, and its solution is its own reward.","d90V1-Ji=UFd OJiIM,jX#eLEUUNpVnX1O2-9NAVXUid-fV^p3DQ*;K:u1ryr#=F2u;W;<rQBN:IGrcqvBg71u;.uEr;1uEPWVQ2",100
327,"Have you a cab?” “Yes, I have one waiting.” “Then I shall go in it.",bi1#-jMOO0NVbF:pi!-jM(eqOU;L9NKemooUxIFGDIgN1rXMEviFIrx16PW;XS1=W1R,67
328,We cannot spare time even to discuss what you have told me.,"CV8ZemVX5_U(y2;#*0jeU*,HOG1Le:UGSy;Gv;:U9P;=BTuINKEy;oUR7:(",59
329,Kindly sign the paper where Mr.,"*i,,ieo-,*gEND14Wc=IW;5:ZPi5vpk",31
330,"Holmes, and my mind is made up that I will accept it.","biG^_e!iO_3#5DM(iIiNVIMz, o.*Ig7:=B71IG*;BuKWiWrZ*d1R",53
331,"You see no difficulty, heh?’ “‘I should be happy to make myself useful.’ “‘Quite so.","GO^;iVbDqy(jyV+M#*XoVDND-OOV1eVDCTE=5FezNaaI5Uk:E=d6=;Nu1W;RtB,;Z2;=GM:yP=u(tx1EI5;x",84
332,I think that I could be of assistance to you.” “You?,;aVbX5ZeBL=xMYe58X*O_3P13(ruWAuKW:y70Uxgu;X7UREyx1au,52
333,I simply want your opinion about a hydraulic stamping machine which has got out of gear.,*n-Y3X3/(MVBUe13M#1-LOBDMuVMdKMg1g-NK3pi8-E(rIbkiQIxtEBr.gzug;J<t:;XbW1GdWUN:IXIEIyIx1#k,88
334,"But this one comes from London, and therefore we cannot count upon delay.” “Good God!” I cried.","d!3(VNaN/O3dnDU/5BX*G1Lei,a,,*IM!KgM#((,Zeg(i*dqu;II.U2*I.JW.2rg7;5vxviUGSy:y6;2r*<x=1xBEC!rci2",95
335,How could my hair have been locked in the drawer?,"i!M5,*1N+G,0DemVUMNV8X*goO:y7:=XW;oU,PWJMBW;5:<V6",49
336,"He had returned with the prize, but had left a fragment in the grasp of his opponent.","b0g/-=VY#f#e3UiB,o(93q,sVd5jr#e3VBi8iT,NMeoUXBvuS3i;IuUc1U0u;ZW(IF.F*61ruUWKBx;;Eb.PR",85
337,"This note I had this morning marks my zero-point, I fancy.",dB4(eBgF-+NV.9VF1#V=3NM(eGi=N6;WyUrXBu;:.rr:Q@:=ikZ=61rY7x,58
338,I thought it was Wednesday.,d@q;!(A3i*K-*.;RIu1I#I*cNGx,27
339,"Her lips, too, were bloodless, but her eyes were flushed with crying.","G15*31N,yzeeiq8V,3uexjXw5,!e/*zF,eoPW:I;x1Vv0kJvu1DI5r(NiPU.u5BUu:kWE",69
340,"Hatherley, and I have shown you how I trust you.’ He rose as he spoke.",C<aeVfeYV 3dK3y3(U-NKUg(emVOIMDje3HHuPv=g7W;oUuOrxIRUrtuIxR=MWyUK;UTf(,70
341,Of these he took five and thrust them into an envelope.,"C/j!,p#Bie33yV*IMjEP/*,eq3(G=uNU5;xA=Mg7;tuIu316=QihPJ(",55
342,"The goose, sir!” he gasped.","d f-,VVEez/-,t51x51Il!51K*2",27
343,"His eyes twinkled, and there was even a touch of colour upon his sallow cheeks.","2l,*gj4(iU/5NwZ(-3X*M0j(Aee3Npe8+1:(D,=o;iOI5W?31QBuPU#I9Pg;ydE=2kt;2rIIXSO:59R",79
344,"I hope that I make it all plain?’ “‘I quite follow you,’ said I.",2NpOjX5gjaeBT(VU1p em3i+M(3M* -(rR*;XIrGM1IQrcF6I1rN;UxSOEy1;FBk,64
345,I have given you all the facts.,2b4e3emNKUjgemV.;oU1MrxIQruUYdR,31
346,The Red-Headed League III.,2xeXnM8s ;DeN6UMGMZ3W#;USk,26
347,"He does not say so, but I can read it from his soothing answers and averted eyes.","2D,8*jMIMO!=MFiGa(iV-OBNnVp*Od5 OsOGiqKeoU2NWy;a;=0uW:QW#B;EkBIIRyIrg6V6g7gM63iOR",81
348,"I have a fairly long list at present.” “Oh, Anstruther would do your work for you.","dKVaP#iNK#58Xie352ge3VbBz,-_3=,FwN,pOMjM(rXMgEFS=krW;IK:v56x1K1Su6uPiy7:=xti.AxrxR",82
349,Finally he took the bell-rope in his hand and gave it a brisk tug.,"GTP=N93ijHNpNpV=V1e/UjDe3P/*,NjAgU<S=5;xAuU,SQJUW;;;QBQBgM1IF+;AuE",66
350,You have dishonoured me forever!,"Vj,aeV8NF-=5jMNaaIXM:;Rkt3:UxvMl",32
351,"It must, then, be something out of the house.","Cy-e3(-d-FiC#ODe03e253.Idu1uP1,;JNIrEuE=uURu(",45
352,I know all about McCarthy.” The old man sank his face in his hands.,"2IM(iUi^4(iPpOpV8-,5b5*LB3XsemUFv.pkUQrwyIL 6RxW5E7:Q;QAIIY*1rIIX7R",67
353,You understand?” “I am to be neutral?” “To do nothing whatever.,*j^MiFiGiK#5U0Md!e5ZVMOU;p2eI5XYy;7PuQdIWgBR0Uvu<6IW=2WyIriX5Mk,63
354,"I suppose that I am commuting a felony, but it is just possible that I am saving a soul.",CXOMF04VMO_3eDEY-28(iB3ueIwz9#1dVZVMO_3eY/R(rubyUuKWgB2buW1FOkk1DI;1IDu:yI+UuKWgBXArg;yk,88
355,"I found that I had my man, so I came home and changed my clothes.","2,G^NV8FM*IM,-e9*OaepV5NM(3M*IXO.Ey7;XIrXB2:Q1RW:ZUR*g7:Xr3:=cy5R",65
356,Then he did the same with the wood-work with which the chamber was panelled.,"djjp-fie5M*,*3ii31P#1XFe3VBi,4e3N;eV0N6P;UBBuUX*i;IuU(J-.AUuiId;5:XCPiK:QPv2",76
357,"Sherlock Holmes was well known to the force, and the two constables at the door saluted him.","*iN^84V/5,*_(js2g*F*,*IMj*ae3#*1Fvj!(A(, -7weeuPk_p.*I#IVSpkP;=uUx7Ug7;5;(:.uwvIK;5:xrX65BI2",92
358,"God help me!” He burst into convulsive sobbing, with his face buried in his hands.","2IM(iUi8iue_O=V31eF;XOjED!Z#Bi2N5 VeVw,NaEB57:e!M0tu16=2htIM;q!r1Uu;;EZUDr31rIIX7R",82
359,"Windigate, of the Alpha, and by him to his club, of which Mr.","*i3iiYeu^(i#*UVuNpeMw-,*Ye^H;1:WBg51x;5W7X1QBz;:;=IIc81xiIdpk",61
360,I had seen little of Holmes lately.,"dj_,qe/(-jb0UjOsV.;Z;VrruvE=47NWKPx",35
361,Your task is confined to that.,bM*ZN!Eg*=Pf*Naat;KA;:.=vBR;XR,30
362,When a doctor does go wrong he is the first of criminals.,"2m1U3(-2UO,*=eVF-i/( 5#bK9U,:5rF2d.:OIEikr;U;;5EWuE=c:WQR",57
363,"I knew that you went out little, and that your circle of friends was a very limited one.","CgN^i0Ne,Mfiy0iOYe^U*NK3M*IMj^B,d-B!NK3M*0W(r?V;XIxIV6EuW;tUg7;XIxt:WcUxErPdiKgpP=rB5B.(",88
364,"Aloysius Doran, at Lancaster Gate, where breakfast had been prepared.","d,H,-0DNM3f.nNeeUe^4V^fB)3M!MQ(IywQky;I2<rgI<7K5rg51NPU+#4KIXB,P:vGv2",69
365,"Of course I might have fled from the house, but my curiosity was almost as strong as my fears.","29zNVf#g3Of3YeMfiTEFN*53uezXV,*#(NjOjM3#i(eOX*Ja:y6UrB;IXMEvB.J;5;y51DI2:tEIRiKg7yIK;t.1K:=OQR",94
366,You know my methods.,"2X3,NVgWNaaI?O:=*uJR",20
367,"James Windibank,” said Holmes.","2, -I4e+pII1(,@#*IB70QA1X:p.*R",30
368,The salesman nodded and shot a questioning glance at my companion.,BFp-ZNV_eBn-F1F2D*MG(NpNDXip(j4eN6UXvTQWJ*BQBuygi5uErr1<7UK:=2bQEk,66
369,"In the scuffle, your son struck Sir George and cut him over the eye.","C8e3Vj-UVd*IM #zV0Pd3OgONKejxTO,*ES;5;dxv1xt;.;tTAIri.ig7:u;:EMruU((",68
370,Hosmer Angel?” I held the little printed slip to the light.,"b#0e3#*FzN^1#e^B,,*8,(U0 gV,Yoy*rSi6Ir57;5W;tUcW5Bt:;=uUr;R",59
371,We have still time to take a train to Hereford and see him to-night?” “Ample.” “Then let us do so.,"GOK(5C,0NVbj--U:#1g*UVjOIM5a, #*1M*M+L#*,:e!2emV!*;oUuWrI*;=XMg;<W;=Mvx7g7;V;:;Yr;uIWbvx16PWN;I2;x",98
372,"Was it to be in church?” “Yes, sir, but very quietly.","d^!TNe,d5,EeqOUi*5*1e5Z3if:K1IR0UW:u7uIgN1Ir0upP=Nitx",53
373,"I slipped out, put on my things, and followed him.",*iN!w OIMzFi*5U-d-^XN Fz(rt:*ByI:uEr2;IrIg7E.kVBI2,50
374,"It is, of course, a trifle, but there is nothing so important as trifles.","2j=3(MBL#-ia#13F(i,,*d5jzi*MjOX*Ye=3.I;1x:y6Ug;r.U0u;5v1IkuW1R1b.X6gItEvR",73
375,It appeared to you to be a simple case; to me it seems exceedingly complex.,"dj-ZN 18^8(ez3i,#*nf*j-E9e5ZNK#*89 o3.IZ*Q3;=xIR0UFIbv:K3;=*1I53I#*3WW=2bva",75
376,I am glad to have a friend with whom I can discuss my results.,"2CR,NVxT=5p*O#UVBiI!(9emVZNn-9(rZ1<BR;oUF.i7i;INJW:Q:;du:=vu6R",62
377,capital!’ He seemed quite enthusiastic and rubbed his hands together in the most genial fashion.,"BF(4eA0-2-e3Uie3 Z(IM(iNDuVIMB2Ay30eBTN,jO VeLgLGBXl!M;V*BN;UPuugu:g7W8,BIIX7IRiuP1ruU2u1PgrYuEk",96
378,You are in my power.,*!/NV1e9NaaIQUW:=2Vk,20
379,"Ferguson remained outside, and the colonel ushered me in.","Bi,N,,ye!wZe3NpeDEd-81M,UaXe-P;RrvGW3EuI*1QBuU2kvru5vB*1k",57
380,It was a singular sight which met our eyes.,"2D,N-CV3ii*FO9DFE9(A3.I#IFIrtQ;1uiId:NEtiOR",43
381,"I shall call with the King to-morrow, and with you, if you care to come with us.",2531e#*Ze9*X5=eX531NpegV-g*Fpe3VBijLem((ruQrGSi;IuU=r;Y2SO1QBUuEy1EEy:QUR:JUUu;R,80
382,"He moved out yesterday.’ “‘Where could I find him?’ “‘Oh, at his new offices.","2^EYU!(i3M,*V1UVIE(NDZeeUV3d@e2D3XNj-eoU2MByIOuPGx=1dPU2tBr=7;:u1gIgIIIvUx=*R",77
383,My practice is never very absorbing.” “Then put on your hat and come.,C#*IM_VNKU-d-0NVbF;#yM5jVj!(i^:_#Np=cZI*1IvMrMkgD.!rx16P:uErxt;Kg7:J(,69
384,I have heard of you before.,"C#q5X5YN9,emV.;oU5QBxEy0(.(",27
385,unless a copyright notice is included.,dD8Bi=eBGi*FN/*Mxj;tvug:J.1uWy:U;176*2,38
386,"Presently he emerged, looking even more flurried than before.","C#q5p3N!V8O,-Uj,FW/,D eeeV8Bz,zv56k;U3PiBWxAriMr2vE6SiBuQ0(.(",61
387,I hardly noticed his appearance.,CBMn/M=V8BGi85M(rX7kWy:3;;gb#<7(,32
388,Fowler at a friend’s house.,Cy-(u0iOM_Vjg-OvrKgErPbIRu(,27
389,If you should find yourself in doubt or in danger—” “Danger!,V pvVV p51V-dX51(jOX5IEND-OX5xkEy;RtB=7Ey6P=W:yDErW:QiSr:Qil,60
390,I was determined that the law should have its way in everything.,"G135j,1NA(BemV8X(Une33M*81V^D(A(r#I*57W3;XIuU<Uuy7;oU;I#=WiMkuWE",64
391,"He lay back without wincing, though he bit his lip from time to time.",CU*ZeU*#(#0(i3;eV#X3eF:1id-Bi7@NneoU<= _i;RuiWBr1uy;;U!IIIrB.J;:UR;:(,69
392,"Deeply as I have sinned, I have led a life of martyrdom to atone for it.",bi#O!ZMZVKN*M(-z09NjemVOD!1OjM((M8w+*3kgIrXM;WvBW;oUvBFrOE=G6.2BRgRvE.1R,72
393,"Be one of them, and you will know all that there is to know.","BFvZ(i,,*_3emUFvj1NKNpee3(-!-z,EvE=u31QBxIUSpkUQruK;5v1IRpk(",60
394,"Let the weight of the matter rest upon me now, and do not let your mind dwell upon it further.","*,*R3igKej;N1VNK3j3F#5IM!FeVgK3qVebMe3(-*F!e33mvIuUV1uE=uUGuPWNIT.:UkUg7:=kIvIxt:WB*PrT.1Iy65k",94
395,"I heard her voice downstairs, but I knew that she could not ascend.","d02MGi8X*,O_3U!vOd5zUL=g5^g,eV5nV.;#7;Pp=*:O6XWI0uWpvUuK;5:y7WygTP2",67
396,"His boots, his socks, his hat, and his watch—all were there.",Ce3eeijM3_i=VIM^M(ie.GO=VzGK(gAIzyI;;;J@1IIXIg7;;iKdXSiPUuP(,60
397,When my dear wife died I felt that he was all I had to love.,"C ,ZNM(em(AeV_33jOO8;e=i9DNV0UdP:=*QiEUB3WEPIuK;U#IQrrXBRWf(",60
398,We had no feeling of security unless our doors were locked.” “Quite so.,"GO^;i3d+G,,!(#KVX(q!5TiTz(-F0jOFNMe:UXBkEVrrE=5drR;SNIyr2.IVvWJM2=EI5;x",71
399,"Then I called at the offices round, but none of them seemed to know anything about it.","bidKMFidpUFvZN,jOe3(-!F3ueIXVqBx-,*_Njm*O0N6PW:QvBK;5Ex:NWy71DIkvE=u3;V*BRpkUQyIrgzu1R",86
400,I just made up my mind to run away and explain afterwards.,"25Ae2M1nK,IMspU5#*IiNVKesV28(rDu:ZUT:=B7;=6r-ag7iZ<WgyP#7R",58
401,It might be a lover; it might be a husband.,"dpR59e5*FVB9e ,MD3#i3.IB;I,gWfPB;:1u0UFu8Q2",43
402,The dear fellow wanted to see if the missing piece were at the scene of the struggle.,"C K3O,*Ye02e33M,!eCg#1xie3(ijOZN^pigjzVn5,t5:#rOSOiQ5BR;V1=uUBuW1B3UVvgIuUTPUx;5;tIW(",85
403,The case would then never go into court at all.” “God bless you!” cried the prisoner passionately.,"dj_gEf-eg=#e3N!3VNK(qDNaVbjM_3NZ#Bi/Vj!U,*8XizLeN6UG5iy7;5rvMrE16=2tIKgSx1EB+NIx8!ciBuUc;.P:KI.KPx",98
404,"We can’t command our love, but we can our actions.","2g:_VXULeid5j ,N-IM#*Bp*!*:Q6:JG7EtWfU0uiUGryrZI.R",50
405,"I was conscious of a dull pain, my grip loosened, and I fell into the garden below.","BwDUD9-,*Z1ejOOIMD!z/,F#NV!p-ju9(-yF2g*fi.iK:.TEuE=FdS:Fr:=W:Wx5vBg7WEPrWR;51Q*r,k(",83
406,"There is no reason, therefore, to think that money troubles have been weighing upon his mind.","d1V=VgK#1#0i0DemVqDX3N!-3M*ri*Ze,a,,*!anVF(i,,t5v1IkW#Rr;5vxv1R;Ih;XI2v=ty+N;oU,PiU;W1T.;;:W2",93
407,"Public disgrace I might have faced, although I am a man whose character has never yet borne a stain.",Bp29eiK3DVj!(MV^_93eYUUM9VMO#X3me8_OjM3#i(e_#=5BD8y+::;WZUrB;IXMEZ31Quy;WgBFGrNyUdQZ5rXIvMrOIzSUFuFk,100
408,They were evidently all deserted.,"d^eq5jM8BD0,,!N,t5=VviA*6kgS:NP52",33
409,It is no wonder that he and his family have some of the more implacable spirits upon their track.,"c_3V03U/5JigOjs_ Ue#V,*Ye#OjMN!9O=VIM,3M*eIF#i=3.I;W=(7P;XI5g7;;EZW=XM;JUx;5:.U:cZwv;Bru;2ruUrtZ4",97
410,"S.” carved upon it, and that is all which we shall ever know of the fate of the _Lone Star_.","29Ceg4e3(-^4e3(-gWVj,jMO!VBUem(i_3NpeBU/58,L3CR=Gh3;2r;1QBuK1IQrN:IV;XSiMr?OE=uUY5E=uUc.UuQ2",92
411,Holmes walked slowly round and examined each and all of them with the keenest interest.,"bqeBi2!jv,*31V,*YemNpV_,8198NpN;-N!wO8lA(, o.*I#h3;kP=ktBQB#ZW3iZIQBQrx;5BUu;5pVvu16PNR",87
412,"Send him to gaol now, and you make him a gaol-bird for life.","C=,#O5;0o-MUV+MNKNpegi H#*UVIj57;:;=g.WO1QBxIGM;:g1a<!7E.WE(",60
413,Might I not escort her to this place?,"0_ (i*ZV,3#2,GiO*Fp1uWWyiT.I5rR;IIcZN",37
414,"He has taken to his bed, and Dr.","*vIMDD(i#*0h*fV M;K;oP;=II,Bg7:k",32
415,But the note itself.,2jJi^Fe33RDIuUk51uPx,20
416,There was the end of this tangled clue.,"C8*8 p*=3(-I,,*fi,,t5viK;5i7E=u;;QW3:6(",39
417,It is a subject to which I have devoted some little attention.,"BFB^_e^B,,aN^wDemVO3iiZ3CDR9(i261IFuj3IRiIdW;oU*45BR*W;tUK56Ek",62
418,The Adventure of the Noble Bachelor XI.,"2O#j34eDQe3(-,T0D-,t5W_PuvE=uUx+U dP.pk",39
419,And yet even here we may discriminate.,C_1U3=5sV!eeV0j3DNgSBOI9P;PUV:a:;c:WK(,38
420,You will ask me why I did not dispose of it?,:iYeYa;3FN;(NUeVkMj1NaaIUSgs:UN=rBBkIBTyUx1u,44
421,This stone is not yet twenty years old.,d (9DNB!*C5Gi=eg2(itIIu.U;WyEN;V6=OQI.2,39
422,"Watson, who is occasionally good enough to help me in my cases.","2zLNV1eVw,#*#X0N/-8mgELG(i-i!a_:KRriR1IJGI.Qk1xBPy;;=57:UW:=G5R",63
423,I could not dream of sacrificing it in this offhand fashion.,BF(4Np(Y(i*13iF:Ei_OYVnN3FNDZ(r2tBkIc#Bx;Zr=Br1IW;IIxyQBYuEk,60
424,"At one side of the coronet was a cracked edge, where a corner holding three gems had been torn away.","dAMiZUj5sVO e,3#18-V!#*M,,ijK,87M*MfiCg#*,*YeIO!-G6Ev;:Ux;5:..NiKg:<_3iBUi5vg:.vrR7W1uvUid;Z0VrRSg#x",100
425,"Fritz!’ she cried in English, ‘remember your promise after the last time.","CU*2ne3V^fe=##VX5e5,,V,= pUi8i*,OV7i-rIj;5:r31rWW;I1v*CPEyrcJ;Ua5ruU<u;:(",73
426,"Kill it and take it with you.’ “Well, I did what she said, Mr.","*iDpO,O_UN;(ej!VbX5313i+LNp3ijp=S1IQBXM1IUuEyx1*S1rBBNK;5;FBpk",62
427,But there was no great difficulty in the first stage of my adventure.,"CNBjsNVYeo23OEe3UiTDBx;3n##ifi,,*dqu;5viKW=W#IBx:tR1ruU=6IuFUx:=ZM6t(",69
428,Living in London—quite so!,#O^;BgIoUiF0prAr1rk7.vI5;q,26
429,Then he closed the locket and handed it back to Lord St.,"b,5o#*7@3i8IMNp3+G,,*8Y^eV0N6P;Ucy3;5WJMIQBX731I _;=k7;R",56
430,My life is spent in one long effort to escape from the commonplaces of existence.,"CB^=8(-q_ gVZe3V-O Lq#**aq#g,!-130a(iz0Np=rO1ITPIWEvW.1(x6;=NG*EkBuU2b.cZNE=#;57(",81
431,"And, first, one or two questions, Mr.",*izg:qT#:V-!-^OEeIQ71=6IEvEr5=NNI.Ipk,37
432,Simon shrugged his shoulders and raised his eyebrows.,"2gND,=V8=MNp(e8X((iN KVOgUD:.;tIiBIIuy7PIQB<;3;;iO+OR",53
433,"Simon, I think that I have nearly all my data.","__55emN,nijM(3M*ri*O!-0I2rW;Ih;XIrXMW#S=Qr2:Ka",46
434,I shall write to Mr.,*iZeBUem((ruQrP;URpk,20
435,"He is small for his age, with a head which is quite disproportionately large.",C-nNj_g:#/#=5^;*=VBUNnVM31e M=V#OjMO=eoU;;GSE.;;gi1Uug;#BN:I;iI5:;cJ.I.KP=<r(,77
436,"Holmes, that to me, destitute as I was, such an offer seemed almost too good to be true.","C5*D#*X/#Z3YeM8ezVzYUM3RefiOfedB2De,#*_3eqe/47N1uK;=*1*u;uUKWiK1udgrxOr533g7yIR=EJ;=,;6(",88
437,Unless you have removed all references to Project Gutenberg: 1.E.1.,"G_G9-D0dObj-,Z(^0eqVjM8 eVjMNK(q!VSNIxIXMW3f3gSW(PP*IREk,d1uP,r!zEz",67
438,"Still, that little may as well be cleared up to make the case complete.","CC #*zLe3ehVZ#589j*DejifNMe^B,_3ej:DIS1uKW;tUG=KiPr,:vQ3;BR:oUuUG5:JcN(",71
439,"Simon (the younger brother and sister of the bridegroom), and Lady Alicia Whittington.","BZF:BU9:0-u)Npe-/#Di5,*YV^=OIMe3-5eFX5,cU-0I2rK5EyrP0kuPg7;;5rx;50r*Wxd1QB<2WrBFd;IrRk",86
440,"I should not wish a smarter assistant, Mr.",*i^p2EfV^9(9V=iGi8X((ruy7Wyi;IFTQ5rKIuQIpk,42
441,The lamp still stood upon the floor where I had placed it when examining the trough.,"*K-*,*F1i@,0U3i8_ NM(eeUV/ze3U/5XZOj:O-neN6U<b;IS;RJ;2ruU.xrNPUrXBcZ31INPi/Brr;5;kIR",84
442,"Holmes, you know the people who live under my roof, and I shall continue with my miserable story.","d#2eDMziNV31eI:g*jMOOIMz/V5VD;e!,-ij/ e3UFvX5z, o.*IEypkUuU*JviRWpUt*r2Wx=g7W;XS:.I6UUu:=B5<+Uu.x",97
443,"Who were these German people, and what were they doing living in this strange, out-of-the-way place?","0_ NA03EFd-jFM2(i*1#1!,Fg583eei_UNpej/ UMeOz,*,!#Ud=Vv;551PGr*Jv1QBNKiPUu(:=rWpW1W;IIu<rUEuaYu##=cZN",100
444,"Where were we going, and what were we to do?","g5Zei,!3MiIM 1/ei,!eeUdPUVviUEW1g7iXIVviUR:y",44
445,Perhaps I have trained myself to see what others overlook.,"c/,j-O,G3MijOZ(jyV81M*jM((oVjO6ZIrXM;<W3:yP=R;ViXIy56EMSx4",58
446,All was as we had seen it in the daytime.,CUd@e3UiBUjOsV!(MfijQSiKgIV;Z;Vr;1ruUGy:(,41
447,"Toller in the cellar,” said she.",C(NpOj9j^e3UiejKkSP1ruU*SQ1;FBu(,32
448,"I fainted when it was done, and I think that I must have been senseless for a long time.",CU*Fw9Va(qj=zUj5jM3yVO_3P13(Npe!K(A3i0UN^14(rYW5BNP1I#I2v1QBruWAuKW:uIXM0Vr56PNIxrFkr;:(,88
449,It gave even my hardened nerves a shudder to look at it.,"bi_P/,ZVDu(9(jei805MNV0jem-261oU9P:=X7P3WPMIFuT*rRWxAK1R",56
450,Therefore it is upon the logic rather than upon the crime that you should dwell.,"Cj;ND-OX5_3eU3e3U/5p3V,_VB/,,*gK(iBe#qeN6P(.U;1IT.;5W=:WK5ruQ;2ruUc:UuKEy;RtB*Pk",80
451,And you know where they are.,"C9N,*,,igWNKNgSBxI?Oi5v;5=Q(",28
452,Every good stone is.,2i!ZOX/NempP=EJ;Rv1R,20
453,"I stared at it horror-stricken, not knowing what was about to issue from it.",bi#(eR=#*dKMfi_U#1gW3Fe07i2i-#VB3M892(ruQ3gI;;.k<ur_P1kI?OW1NKiKgzu;=;uU.J1R,76
454,The place we want must be somewhere near that line.,"C1,_3Vni,,0#OD3yVBAei^n-,t5:<*iU#6:uI,;JV5vW#ruKWW(",51
455,"I want the doctor’s advice and help, too.","GZew,NpeBDMO#bKe33pi.iQIuU2d.6g_:UQB571Rx",41
456,"It was useless, however.",*j!-exjz5fi26iK;5vu1RVMk,24
457,Both these witnesses depose that Mr.,"*i_3eYw5qx!Biz,*3azu;55i;vuN:3yUuKpk",36
458,A hundred and fifty guineas apiece.,CCgMf!;-T=OIM8N;VQ;tc3g7EER1IvKgB3(,35
459,Sherlock Holmes was transformed when he was hot upon such a scent as this.,"2i*f3029VdOgK3-(AeV0UN,#xp3(A(, -7weeuPk_p.*I#ItQR.*BNP;U#IRIT.;TIFTPIK;IR",74
460,I have every reason to believe that we shall be in time to stop it.,"bi/2#*,:UiDem(ei_3ej0D#*gf,NejemV.;oU9P=vK.;=,r9UuKiUuQr,1rI*;=uJ1R",67
461,Then there is no more to be done in the matter.,"*^_V,*1eg5D#*,-#i=ee3U,t5ruPU;W=2v;=,:.UW;5:K5k",47
462,"Wilson, you would have the great kindness to recommence your narrative.","C!_VAVX5^0VZ,#*x!IW3n#e3emV8XiX5!a!:WRrEyiy7;oUuUW#IA7vu;=v2bP*Eyr<SKp(",71
463,"You do not know her, but she has a soul of steel.",Cj2(-Da9(Me(3ueeVgW3F#5XYy:=kI?O;P1DIuUXIFRtE=uVk,49
464,Now let us consider the situation and see what may be deduced from it.,bi#(N^uDe5sV_UezNpUF_TEe3VDEg*y3jUQxUvIu:.I*ruUIuKErQB5UNK:a0U*d*B.J1R,70
465,It’s hard to say his age.,Co(iN4#*5M(b.uIX7;=X=IIF(,25
466,"I am a light sleeper, and it has awakened me.","CV80hp(M3iIM, jz3#09VM.gBFr;ItV*rg71IXI-oP3:(",45
467,And this promises to be interesting.,"G12,^1e5Z(zi--=3NgSBu;:kB5IR0UW5vuWE",36
468,I think that there was probably some more tangible cause.,"CyLeDgp*,-e#O8sX#(Aee33M*ri*.;Ih;XIuPU#Icqwk;JU2v;Q1+UGu(",57
469,Had he observed a carriage the night before waiting for me?,"0V#OF:pi,aD3#1e3eoi9*M8,zXeVsoZ;Uq5h3g:QrFUuUr;I,xviFIrE.:N",59
470,"Yours faithfully, “VIOLET HUNTER.” “Do you know the young lady?” I asked.","d+f(U;s,FX5,*gWNK#v3d@v-sLqVDjR3pOOXYy6EFuyS=1QQWp(r4=:=xI?O;5EyrWZyIrKM2",73
471,"Yes, 17 King Edward Street, near St.","b,9!eC,CN9;MFpP-zz-I0r=r1*QBuvN1vQ;R",36
472,"About this girl, Miss Holder.","*D -x1e,g(i*dKQzu;II1S1Aup.*k",29
473,You are doing what you can for him and for me.,CV#OIMUV#Op*X5_U#1Ke9NaaIQU2W1NKEy:QE.;:g7E.:(,46
474,"It may be so in this case, also.” “Well, let us hope so.","GO -(5C,jji3GqMjf*=3Uiae5sV26:a0UR1ru;:KUg6x=:PrWN;IR*;x",56
475,I love and am loved by a better man than he.,CVp3UMV^C5MuNjwVMIMjw(rkMg7gBkMBzg0N5rGruQ;(,44
476,And where was the place?,0_ e3(AeeUNgSBNPU#IuUcZN,24
477,Then I do not think that I need to detain you longer.,"* g,X51LD#*8!(3M*ri*GiK(U,t5rr2Wy;Ih;XIrv3;=*XWEyW.ik",53
478,"Holmes?” “Ah, I have no data.","__5FemVO,-UE, o.*uIWIW;oUk:Ka",29
479,Its owner is unknown.,BgW;(ie1-J.uEPP1It?Ok,21
480,I confess that I was disappointed.,d^1/o=5fiO_3(q=Z(r2kNIuKWiK:;Z2W52,34
481,I staggered to my feet and ran with her along the corridor and down a winding stair.,"*p2#1I19Ug5IM#IVZe3#gmV,VBipVIMCzNVZN, o2(ruFivBR:=ONg7WQi;I5rQ.1uU2S:.g7:OrFU7W1uFk",84
482,Toller!” cried Miss Hunter.,*^;-x1N!3VVj t.vl!ciBAupt5k,27
483,Every clue seems to slip through my fingers.,2eFENV#XV*Fz#*OjOD^NempP=c5;Vd;=t:;ty;:==rPR,44
484,What do you deduce from that?” “They are all seaports.,"2*/nOjM,M8NV1_3V-O^uDNK#5_UdK:=xI*d*EkBuKu16(gvgS;#26R",54
485,"She came with an excellent character, however, and has always given me satisfaction.","BFb4=_O,Ujg(s0MfVIM,j!-eebMM*Bjjd,pVBi,LeeuUG*i;IQiZPv6:X<dP1RVMrg7;KgvaI1Mr*;K;YdEk",84
